"[{'x': 47.68579, 'y': 24.46424}, {'x': 68.18295, 'y': 30.4235}, {'x': 56.14942, 'y': 18.65256}, {'x': 47.82405, 'y': 16.97243}, {'x': 50.9952, 'y': 32.64415}, {'x': 45.49446, 'y': 23.49714}, {'x': 45.63887, 'y': 34.14831}, {'x': 23.56491, 'y': 24.45822}, {'x': 44.05126, 'y': 17.08503}, {'x': 36.96702, 'y': 25.53479}]","{'x': 39.59473, 'y': 26.53377, 'z': 8.98725}",24.0,719.97,0
"[{'x': 47.75675, 'y': 24.50344}, {'x': 68.10669, 'y': 30.48823}, {'x': 56.18138, 'y': 18.71699}, {'x': 47.88145, 'y': 16.9762}, {'x': 51.14892, 'y': 32.65916}, {'x': 45.61213, 'y': 23.51038}, {'x': 45.66948, 'y': 34.08156}, {'x': 23.68226, 'y': 24.48944}, {'x': 44.09686, 'y': 17.03799}, {'x': 37.00561, 'y': 25.59052}]","{'x': 38.6903, 'y': 26.34185, 'z': 8.83225}",16.31,719.93,0
"[{'x': 47.85774, 'y': 24.56579}, {'x': 68.02403, 'y': 30.529420000000002}, {'x': 56.18758, 'y': 18.73301}, {'x': 47.95555, 'y': 16.96949}, {'x': 51.31132, 'y': 32.67295}, {'x': 45.74744, 'y': 23.44145}, {'x': 45.7151, 'y': 34.01971}, {'x': 23.80409, 'y': 24.51941}, {'x': 44.15669, 'y': 16.98524}, {'x': 37.05231, 'y': 25.64314}]","{'x': 37.81768, 'y': 26.44781, 'z': 8.37489}",16.29,719.89,0
"[{'x': 47.98029, 'y': 24.63834}, {'x': 67.93953, 'y': 30.56502}, {'x': 56.19949, 'y': 18.75388}, {'x': 48.0504, 'y': 16.95735}, {'x': 51.48637, 'y': 32.6853}, {'x': 45.88465, 'y': 23.37427}, {'x': 45.7765, 'y': 33.95705}, {'x': 23.92329, 'y': 24.54579}, {'x': 44.23592, 'y': 16.93615}, {'x': 37.10049, 'y': 25.69029}]","{'x': 37.20891, 'y': 26.62586, 'z': 8.03528}",16.28,719.85,0
"[{'x': 48.08611, 'y': 24.68476}, {'x': 67.85658, 'y': 30.60025}, {'x': 56.23889, 'y': 18.81329}, {'x': 48.16709, 'y': 16.94288}, {'x': 51.66316, 'y': 32.69852}, {'x': 45.97648, 'y': 23.41629}, {'x': 45.85494, 'y': 33.8987}, {'x': 24.045, 'y': 24.57189}, {'x': 44.32476, 'y': 16.8785}, {'x': 37.14433, 'y': 25.73956}]","{'x': 36.86885, 'y': 27.06881, 'z': 7.90716}",16.26,719.81,0
"[{'x': 48.2205, 'y': 24.745260000000002}, {'x': 67.77492, 'y': 30.63756}, {'x': 56.27746, 'y': 18.87451}, {'x': 48.30537, 'y': 16.91739}, {'x': 51.83399, 'y': 32.71867}, {'x': 46.14138, 'y': 23.44194}, {'x': 45.95074, 'y': 33.85295}, {'x': 24.1639, 'y': 24.59597}, {'x': 44.42425, 'y': 16.81111}, {'x': 37.17234, 'y': 25.78818}]","{'x': 36.58154, 'y': 27.38756, 'z': 7.98769}",16.24,719.77,0
"[{'x': 48.38984, 'y': 24.83275}, {'x': 67.70214, 'y': 30.67574}, {'x': 56.32404, 'y': 18.943}, {'x': 48.45963, 'y': 16.88269}, {'x': 52.01046, 'y': 32.73693}, {'x': 46.32385, 'y': 23.44068}, {'x': 46.06332, 'y': 33.81451}, {'x': 24.28259, 'y': 24.62041}, {'x': 44.53154, 'y': 16.73419}, {'x': 37.17913, 'y': 25.83846}]","{'x': 36.49281, 'y': 27.78018, 'z': 7.8949}",16.23,719.73,0
"[{'x': 48.49017, 'y': 24.88858}, {'x': 67.62765, 'y': 30.70946}, {'x': 56.36973, 'y': 19.0069}, {'x': 48.62626, 'y': 16.83865}, {'x': 52.19603, 'y': 32.74498}, {'x': 46.44697, 'y': 23.47355}, {'x': 46.18729, 'y': 33.78459}, {'x': 24.40555, 'y': 24.64625}, {'x': 44.65313, 'y': 16.64873}, {'x': 37.20252, 'y': 25.90084}]","{'x': 36.39176, 'y': 28.06493, 'z': 7.80907}",16.21,719.69,0
"[{'x': 48.63291, 'y': 24.96554}, {'x': 67.5584, 'y': 30.74436}, {'x': 56.41736, 'y': 19.10371}, {'x': 48.81793, 'y': 16.78841}, {'x': 52.39594, 'y': 32.7563}, {'x': 46.5875, 'y': 23.4938}, {'x': 46.32087, 'y': 33.74813}, {'x': 24.52939, 'y': 24.67635}, {'x': 44.78229, 'y': 16.54646}, {'x': 37.2438, 'y': 25.95771}]","{'x': 36.221940000000004, 'y': 27.92931, 'z': 7.95599}",16.19,719.65,0
"[{'x': 48.81555, 'y': 25.06291}, {'x': 67.49392, 'y': 30.77831}, {'x': 56.47208, 'y': 19.202}, {'x': 49.00951, 'y': 16.72031}, {'x': 52.6002, 'y': 32.75698}, {'x': 46.7638, 'y': 23.539}, {'x': 46.46087, 'y': 33.71412}, {'x': 24.65764, 'y': 24.7024}, {'x': 44.92103, 'y': 16.42905}, {'x': 37.29347, 'y': 26.0122}]","{'x': 36.19345, 'y': 27.91897, 'z': 8.03416}",16.18,719.61,0
"[{'x': 49.00408, 'y': 25.15382}, {'x': 67.44003, 'y': 30.82043}, {'x': 56.52575, 'y': 19.30541}, {'x': 49.21578, 'y': 16.6463}, {'x': 52.83849, 'y': 32.77489}, {'x': 46.95911, 'y': 23.58961}, {'x': 46.60404, 'y': 33.67712}, {'x': 24.78737, 'y': 24.72526}, {'x': 45.07497, 'y': 16.31802}, {'x': 37.3518, 'y': 26.06018}]","{'x': 36.27382, 'y': 28.3513, 'z': 7.83696}",16.16,719.57,0
"[{'x': 49.19397, 'y': 25.21051}, {'x': 67.39063, 'y': 30.86246}, {'x': 56.58785, 'y': 19.4278}, {'x': 49.43366, 'y': 16.55897}, {'x': 53.03848, 'y': 32.70319}, {'x': 47.15285, 'y': 23.64359}, {'x': 46.76952, 'y': 33.66915}, {'x': 24.91712, 'y': 24.74918}, {'x': 45.2495, 'y': 16.20415}, {'x': 37.41116, 'y': 26.10657}]","{'x': 36.31717, 'y': 28.01588, 'z': 8.02258}",16.14,719.53,0
"[{'x': 49.38908, 'y': 25.25001}, {'x': 67.34822, 'y': 30.90584}, {'x': 56.64008, 'y': 19.54037}, {'x': 49.66904, 'y': 16.46165}, {'x': 53.23802, 'y': 32.63611}, {'x': 47.33763, 'y': 23.64928}, {'x': 46.93816, 'y': 33.66754}, {'x': 25.0463, 'y': 24.77148}, {'x': 45.43546, 'y': 16.09101}, {'x': 37.46767, 'y': 26.15594}]","{'x': 36.42175, 'y': 28.07953, 'z': 7.8994800000000005}",16.13,719.49,0
"[{'x': 49.58912, 'y': 25.27581}, {'x': 67.31054, 'y': 30.94695}, {'x': 56.68831, 'y': 19.64709}, {'x': 49.95065, 'y': 16.38118}, {'x': 53.42912, 'y': 32.55933}, {'x': 47.54947, 'y': 23.72577}, {'x': 47.09824, 'y': 33.65052}, {'x': 25.17663, 'y': 24.79104}, {'x': 45.63379, 'y': 15.97355}, {'x': 37.51785, 'y': 26.19943}]","{'x': 36.66107, 'y': 28.07477, 'z': 7.81978}",16.11,719.45,0
"[{'x': 49.80362, 'y': 25.30131}, {'x': 67.27917, 'y': 30.99337}, {'x': 56.76751, 'y': 19.8103}, {'x': 50.21512, 'y': 16.25917}, {'x': 53.60973, 'y': 32.48909}, {'x': 47.74454, 'y': 23.73653}, {'x': 47.26418, 'y': 33.64055}, {'x': 25.31196, 'y': 24.81205}, {'x': 45.83917, 'y': 15.8542}, {'x': 37.56287, 'y': 26.24194}]","{'x': 37.05153, 'y': 27.66644, 'z': 7.63237}",16.09,719.41,0
